TWC_200/BUCKET_AREA_CALC,TWC_200/BUCKET_AREA_CALC
X,Y
0.0,0.117
50.0,0.117
100.0,0.117
725.0,0.117
775.0,0.117
825.0,0.135
1193.0,0.135
1199.0,0.135
1205.0,0.136
1211.0,0.137
1217.0,0.137
1223.0,0.138
1229.0,0.138
1235.0,0.139
1241.0,0.14
1247.0,0.14
1253.0,0.141
1259.0,0.141
1265.0,0.142
1271.0,0.143
1277.0,0.143
1283.0,0.144
1289.0,0.144
1295.0,0.145
1301.0,0.145
1307.0,0.146
1313.0,0.147
1319.0,0.147
1325.0,0.148
1331.0,0.148
1337.0,0.149
1343.0,0.149
1345.0,0.15
1349.0,0.149
1351.0,0.149
1355.0,0.149
1357.0,0.149
1361.0,0.149
1363.0,0.148
1367.0,0.148
1369.0,0.148
1373.0,0.148
1375.0,0.148
1379.0,0.148
1381.0,0.148
1385.0,0.149
1387.0,0.149
1391.0,0.149
1393.0,0.149
1397.0,0.149
1399.0,0.149
1403.0,0.149
1405.0,0.149
1409.0,0.149
1411.0,0.149
1415.0,0.15
1417.0,0.15
1421.0,0.15
1423.0,0.15
1427.0,0.15
1429.0,0.15
1433.0,0.151
1435.0,0.151
1439.0,0.151
1441.0,0.151
1445.0,0.151
1447.0,0.151
1451.0,0.152
1453.0,0.152
1457.0,0.152
1459.0,0.152
1463.0,0.153
1465.0,0.153
1469.0,0.153
1471.0,0.154
1475.0,0.154
1477.0,0.154
1481.0,0.155
1483.0,0.155
1487.0,0.155
1489.0,0.155
1493.0,0.156
1495.0,0.156
1499.0,0.157
1501.0,0.157
1505.0,0.157
1507.0,0.158
1511.0,0.158
1513.0,0.158
1517.0,0.159
1519.0,0.159
1523.0,0.16
1525.0,0.16
1529.0,0.161
1531.0,0.161
1535.0,0.162
1537.0,0.162
1541.0,0.162
1543.0,0.163
1547.0,0.163
1549.0,0.164
1553.0,0.164
1555.0,0.165
1559.0,0.165
1561.0,0.166
1565.0,0.166
1567.0,0.167
1571.0,0.168
1573.0,0.168
1577.0,0.169
1579.0,0.169
1583.0,0.17
1585.0,0.17
1589.0,0.171
1591.0,0.171
1595.0,0.172
1597.0,0.173
1601.0,0.173
1603.0,0.174
1607.0,0.175
1609.0,0.175
1613.0,0.176
1615.0,0.177
1619.0,0.178
1621.0,0.178
1625.0,0.179
1627.0,0.179
1631.0,0.18
1633.0,0.181
1637.0,0.182
1639.0,0.182
1643.0,0.183
1645.0,0.184
1649.0,0.185
1651.0,0.185
1655.0,0.186
1657.0,0.187
1661.0,0.188
1663.0,0.189
1667.0,0.19
1669.0,0.19
1673.0,0.191
1675.0,0.192
1679.0,0.193
1681.0,0.194
1685.0,0.195
1687.0,0.196
1691.0,0.197
1693.0,0.197
1697.0,0.199
1699.0,0.199
1703.0,0.2
1705.0,0.201
1709.0,0.202
1711.0,0.203
1715.0,0.204
1717.0,0.205
1721.0,0.206
1723.0,0.207
1727.0,0.209
1729.0,0.209
1733.0,0.211
1735.0,0.211
1739.0,0.212
1741.0,0.213
1745.0,0.213
1747.0,0.213
1751.0,0.214
1753.0,0.214
1757.0,0.215
1759.0,0.215
1763.0,0.216
1765.0,0.216
1769.0,0.217
1771.0,0.217
1775.0,0.218
1777.0,0.218
1781.0,0.219
1783.0,0.219
1787.0,0.22
1789.0,0.221
1793.0,0.222
1795.0,0.222
1799.0,0.223
1801.0,0.223
1805.0,0.224
1807.0,0.225
1811.0,0.226
1813.0,0.226
1817.0,0.228
1819.0,0.228
1823.0,0.229
1825.0,0.23
1829.0,0.231
1831.0,0.232
1835.0,0.233
1837.0,0.233
1841.0,0.235
1843.0,0.235
1847.0,0.237
1849.0,0.237
1853.0,0.239
1855.0,0.239
1859.0,0.241
1861.0,0.241
1865.0,0.243
1867.0,0.244
1871.0,0.245
1873.0,0.246
1877.0,0.248
1879.0,0.248
1883.0,0.25
1885.0,0.251
1891.0,0.253
1897.0,0.256
1903.0,0.259
1909.0,0.262
1915.0,0.265
1921.0,0.268
1927.0,0.271
1933.0,0.274
1939.0,0.277
1945.0,0.28
1951.0,0.284
1957.0,0.287
1963.0,0.291
1969.0,0.295
1975.0,0.299
1981.0,0.303
1987.0,0.307
1993.0,0.311
1999.0,0.316
2005.0,0.32
2011.0,0.325
2017.0,0.33
2023.0,0.335
2029.0,0.34
2035.0,0.345
2041.0,0.35
2047.0,0.356
2053.0,0.362
2059.0,0.368
2065.0,0.374
2071.0,0.38
2077.0,0.387
2083.0,0.394
2089.0,0.401
2095.0,0.408
2101.0,0.416
2107.0,0.424
2113.0,0.432
2119.0,0.441
2125.0,0.45
2131.0,0.459
2137.0,0.469
2143.0,0.479
2149.0,0.489
2155.0,0.5
2161.0,0.512
2167.0,0.524
2173.0,0.537
2179.0,0.551
2185.0,0.565
2191.0,0.581
2197.0,0.597
2203.0,0.615
2209.0,0.633
2215.0,0.653
2221.0,0.675
2227.0,0.699
2233.0,0.724
2239.0,0.752
2245.0,0.783
2251.0,0.818
2257.0,0.857
2263.0,0.9
2269.0,0.951
2275.0,1.01
2281.0,1.079
2287.0,1.164
2293.0,1.271
2299.0,1.41
2302.0,1.481
2305.0,1.585
2311.0,1.88
2317.0,2.428
2323.0,4.149
2329.0,4.397
2335.0,2.501
2341.0,1.937
2347.0,1.64
2353.0,1.45
2359.0,1.316
2365.0,1.214
2371.0,1.133
2377.0,1.083
2383.0,1.028
2389.0,0.981
2395.0,0.941
2401.0,0.906
2407.0,0.874
2413.0,0.846
2417.0,0.829
2419.0,0.821
2425.0,0.798
2431.0,0.777
2437.0,0.758
2443.0,0.741
2449.0,0.724
2455.0,0.709
2461.0,0.695
2467.0,0.682
2473.0,0.669
2479.0,0.658
2485.0,0.647
2491.0,0.636
2497.0,0.626
2503.0,0.617
2509.0,0.608
2515.0,0.599
2521.0,0.591
2527.0,0.583
2533.0,0.576
2539.0,0.569
2545.0,0.563
2551.0,0.559
2557.0,0.555
2563.0,0.551
2569.0,0.547
2575.0,0.544
2581.0,0.54
2587.0,0.537
2593.0,0.534
2599.0,0.531
2605.0,0.528
2611.0,0.526
2617.0,0.523
2623.0,0.521
2629.0,0.518
2635.0,0.516
2641.0,0.514
2647.0,0.511
2653.0,0.509
2659.0,0.507
2665.0,0.505
2671.0,0.503
2677.0,0.502
2683.0,0.5
2689.0,0.498
2695.0,0.496
2701.0,0.495
2707.0,0.493
2713.0,0.491
2719.0,0.49
2725.0,0.488
2731.0,0.487
2737.0,0.485
2743.0,0.484
2749.0,0.483
2755.0,0.481
2761.0,0.48
2767.0,0.479
2773.0,0.477
2779.0,0.476
2785.0,0.475
2791.0,0.474
2797.0,0.472
2803.0,0.471
2809.0,0.47
2815.0,0.469
2821.0,0.468
2827.0,0.467
2833.0,0.466
2839.0,0.464
2845.0,0.463
2851.0,0.462
2857.0,0.461
2863.0,0.46
2869.0,0.459
2875.0,0.458
2881.0,0.457
2887.0,0.456
2893.0,0.455
2899.0,0.454
2905.0,0.453
2911.0,0.452
2917.0,0.451
2923.0,0.45
2929.0,0.449
2935.0,0.448
2941.0,0.447
2947.0,0.446
2953.0,0.445
2959.0,0.444
2965.0,0.443
2971.0,0.442
2977.0,0.441
2983.0,0.44
2989.0,0.439
2995.0,0.438
3001.0,0.437
3007.0,0.437
3013.0,0.436
3019.0,0.435
3025.0,0.434
3031.0,0.433
3037.0,0.432
3043.0,0.431
3049.0,0.43
3055.0,0.429
3061.0,0.428
3067.0,0.427
3073.0,0.426
3079.0,0.425
3085.0,0.424
3091.0,0.423
3097.0,0.422
3103.0,0.421
3109.0,0.42
3115.0,0.419
3121.0,0.418
3127.0,0.417
3133.0,0.416
3139.0,0.415
3145.0,0.414
3151.0,0.413
3157.0,0.412
3163.0,0.412
3169.0,0.411
3175.0,0.41
3181.0,0.409
3187.0,0.408
3193.0,0.407
3199.0,0.406
3205.0,0.405
3211.0,0.404
3217.0,0.403
3223.0,0.401
3229.0,0.4
3235.0,0.399
3241.0,0.398
3247.0,0.397
3253.0,0.397
3259.0,0.395
3265.0,0.394
3271.0,0.393
3277.0,0.392
3283.0,0.391
3289.0,0.39
3295.0,0.389
3301.0,0.388
3307.0,0.387
3313.0,0.386
3319.0,0.385
3325.0,0.384
3331.0,0.383
3337.0,0.382
3343.0,0.381
3349.0,0.382
3355.0,0.382
3361.0,0.383
3367.0,0.384
3373.0,0.385
3379.0,0.386
3385.0,0.386
3391.0,0.387
3397.0,0.388
3403.0,0.389
3409.0,0.39
3415.0,0.39
3421.0,0.391
3427.0,0.392
3433.0,0.393
3439.0,0.394
3445.0,0.394
3451.0,0.395
3457.0,0.396
3463.0,0.397
3469.0,0.398
3475.0,0.398
3487.0,0.4
3493.0,0.401
3499.0,0.402
3505.0,0.402
3511.0,0.403
3517.0,0.404
3523.0,0.405
3529.0,0.406
3535.0,0.406
3541.0,0.407
3547.0,0.408
3553.0,0.409
3559.0,0.41
3565.0,0.41
3571.0,0.411
3577.0,0.412
3583.0,0.413
3589.0,0.413
3601.0,0.415
3607.0,0.416
3613.0,0.417
3619.0,0.417
3625.0,0.418
3631.0,0.419
3649.0,0.421
3655.0,0.422
3661.0,0.423
3667.0,0.423
3673.0,0.424
3679.0,0.425
3685.0,0.426
3691.0,0.427
3697.0,0.427
3703.0,0.428
3721.0,0.43
3733.0,0.432
3739.0,0.433
3745.0,0.433
3751.0,0.434
3763.0,0.436
3769.0,0.436
3775.0,0.437
3781.0,0.438
3787.0,0.439
3793.0,0.439
3805.0,0.441
3817.0,0.442
3823.0,0.443
3829.0,0.444
3835.0,0.445
3841.0,0.445
3847.0,0.446
3853.0,0.447
3865.0,0.448
3877.0,0.45
3889.0,0.451
3895.0,0.452
3901.0,0.453
3907.0,0.453
3913.0,0.454
3919.0,0.455
3937.0,0.457
3955.0,0.459
3967.0,0.461
3991.0,0.464
3997.0,0.467
4003.0,0.471
4009.0,0.475
4015.0,0.478
4021.0,0.482
4027.0,0.486
4033.0,0.489
4039.0,0.493
4045.0,0.497
4051.0,0.501
4057.0,0.504
4063.0,0.508
4069.0,0.512
4075.0,0.516
4081.0,0.52
4087.0,0.523
4093.0,0.527
4099.0,0.531
4105.0,0.535
4111.0,0.539
4117.0,0.543
4123.0,0.547
4129.0,0.551
4135.0,0.554
4141.0,0.558
4147.0,0.562
4153.0,0.566
4159.0,0.57
4165.0,0.574
4171.0,0.578
4177.0,0.582
4183.0,0.586
4189.0,0.59
4195.0,0.594
4201.0,0.598
4207.0,0.602
4213.0,0.606
4219.0,0.611
4225.0,0.615
4231.0,0.619
4237.0,0.623
4243.0,0.627
4249.0,0.631
4255.0,0.635
4261.0,0.639
4267.0,0.644
4273.0,0.648
4279.0,0.652
4285.0,0.656
4291.0,0.66
4297.0,0.665
4303.0,0.669
4309.0,0.673
4315.0,0.677
4321.0,0.682
4327.0,0.686
4333.0,0.69
4339.0,0.695
4345.0,0.699
4351.0,0.703
4357.0,0.708
4363.0,0.712
4369.0,0.716
4375.0,0.721
4381.0,0.725
4387.0,0.729
4393.0,0.734
4399.0,0.738
4405.0,0.743
4411.0,0.747
4417.0,0.752
4423.0,0.756
4429.0,0.761
4435.0,0.765
4441.0,0.77
4447.0,0.774
4453.0,0.779
4459.0,0.783
4465.0,0.788
4471.0,0.792
4477.0,0.797
4483.0,0.801
4489.0,0.806
4495.0,0.81
4501.0,0.815
4507.0,0.82
4513.0,0.824
4519.0,0.829
4525.0,0.834
4531.0,0.838
4537.0,0.843
4543.0,0.848
4549.0,0.852
4555.0,0.857
4561.0,0.862
4567.0,0.866
4573.0,0.871
4579.0,0.876
4585.0,0.881
4591.0,0.885
4597.0,0.89
4603.0,0.895
4609.0,0.9
4615.0,0.905
4621.0,0.909
4627.0,0.914
4633.0,0.919
4639.0,0.924
4645.0,0.929
4651.0,0.934
4657.0,0.939
4663.0,0.944
4669.0,0.948
4675.0,0.953
4681.0,0.958
4687.0,0.963
4693.0,0.968
4699.0,0.973
4705.0,0.978
4711.0,0.983
4717.0,0.988
4723.0,0.993
4729.0,0.998
4735.0,1.003
4741.0,1.008
4747.0,1.013
4753.0,1.018
4759.0,1.023
4765.0,1.028
4771.0,1.035
4777.0,1.043
4783.0,1.052
4789.0,1.061
4795.0,1.069
4801.0,1.078
4807.0,1.087
4813.0,1.096
4819.0,1.105
4825.0,1.114
4831.0,1.123
4837.0,1.132
4843.0,1.141
4849.0,1.15
4855.0,1.159
4861.0,1.168
4867.0,1.177
4873.0,1.186
4879.0,1.195
4885.0,1.204
4891.0,1.214
4897.0,1.223
4903.0,1.232
4909.0,1.242
4915.0,1.251
4921.0,1.26
4927.0,1.27
4933.0,1.279
4939.0,1.289
4945.0,1.298
4951.0,1.308
4957.0,1.318
4963.0,1.327
4969.0,1.337
4975.0,1.347
4981.0,1.356
4987.0,1.366
4993.0,1.376
4999.0,1.386
5005.0,1.396
5011.0,1.406
5017.0,1.416
5023.0,1.426
5029.0,1.436
5035.0,1.446
5041.0,1.456
5047.0,1.466
5053.0,1.476
5059.0,1.486
5065.0,1.497
5071.0,1.507
5077.0,1.517
5083.0,1.528
5089.0,1.538
5095.0,1.548
5101.0,1.559
5107.0,1.569
5113.0,1.58
5119.0,1.591
5125.0,1.601
5131.0,1.612
5137.0,1.623
5143.0,1.633
5149.0,1.644
5155.0,1.655
5161.0,1.666
5167.0,1.677
5173.0,1.688
5179.0,1.699
5185.0,1.71
5191.0,1.721
5197.0,1.732
5203.0,1.743
5209.0,1.754
5215.0,1.766
5221.0,1.777
5227.0,1.788
5233.0,1.8
5239.0,1.811
5245.0,1.822
5251.0,1.834
5257.0,1.846
5263.0,1.857
5269.0,1.869
5275.0,1.881
5281.0,1.892
5287.0,1.904
5293.0,1.916
5299.0,1.928
5305.0,1.94
5311.0,1.952
5317.0,1.964
5323.0,1.976
5329.0,1.989
5335.0,2.001
5341.0,2.013
5347.0,2.026
5353.0,2.038
5359.0,2.051
5365.0,2.063
5371.0,2.076
5377.0,2.089
5383.0,2.101
5389.0,2.114
5395.0,2.127
5401.0,2.14
5407.0,2.153
5413.0,2.166
5419.0,2.18
5425.0,2.193
5431.0,2.206
5437.0,2.22
5443.0,2.233
5449.0,2.247
5455.0,2.261
5461.0,2.275
5467.0,2.289
5473.0,2.303
5479.0,2.317
5485.0,2.331
5491.0,2.346
5497.0,2.36
5503.0,2.375
5509.0,2.39
5515.0,2.405
5521.0,2.42
5527.0,2.441
5533.0,2.463
5539.0,2.486
5545.0,2.509
5551.0,2.532
5557.0,2.556
5563.0,2.58
5569.0,2.605
5575.0,2.631
5581.0,2.658
5587.0,2.686
5593.0,2.717
5599.0,2.75
5605.0,2.771
6650.0,2.771
